Problema,Restriccion,Fitness
R06,juarez-centroide,1.167222302
R06,juarez-centroide,1.682559824
R06,juarez-centroide,1.120269909
R06,juarez-centroide,1.35948966
R06,juarez-centroide,1.119750279
R06,juarez-centroide,1.013503656
R06,juarez-centroide,1.084367126
R06,juarez-centroide,1.470587474
R06,juarez-centroide,1.632971166
R06,juarez-centroide,1.628858728
R06,juarez-centroide,1.825603398
R06,adham-clamp,1.000629672
R06,adham-clamp,1.000697685
R06,adham-clamp,1.004105174
R06,adham-clamp,1.012117312
R06,adham-clamp,1.000050772
R06,adham-clamp,1.000858249
R06,adham-clamp,1.002564862
R06,adham-clamp,0
R06,adham-clamp,1.002182308
R06,adham-clamp,0
R06,adham-clamp,0
R06,adham-clamp,1.001447116
R06,adham-clamp,1.006211956
R06,adham-clamp,0
R06,adham-clamp,0
R06,adham-clamp,0
R06,adham-clamp,1.003780231
R06,adham-clamp,1.011558128
R06,adham-clamp,0
R06,adham-clamp,1.016642921
R06,adham-clamp,1.017416945
R06,adham-clamp,1.002215867
R06,adham-clamp,1.002608824
R06,adham-clamp,1.010429126
R06,adham-clamp,1.002121734
R06,adham-shrink,0
R06,adham-shrink,0
R06,adham-shrink,0
R06,adham-shrink,1.000073559
R06,adham-shrink,0
R06,adham-shrink,0
R06,adham-shrink,1.004713858
R06,adham-shrink,1.001673173
R06,adham-shrink,0
R06,adham-shrink,1.000490831
R06,adham-shrink,0
R06,adham-shrink,0
R06,adham-shrink,1.009760109
R06,adham-shrink,0
R06,adham-shrink,0
R06,adham-shrink,1.00672607
R06,adham-shrink,1.009275877
R06,adham-shrink,0
R06,adham-shrink,0
R06,adham-shrink,1.002320146
R06,adham-shrink,0
R06,adham-shrink,0
R06,adham-shrink,1.03918447
R06,adham-shrink,0
R06,adham-shrink,1.004009124
R06,qin-wrapping,1.694889067
R06,qin-wrapping,1.556927709
R06,qin-wrapping,1.412065984
R06,qin-wrapping,1.594807335
R06,qin-wrapping,1.618949087
R06,qin-wrapping,1.555398186
R06,qin-wrapping,1.926784956
R06,qin-wrapping,1.447030774
R06,qin-wrapping,1.113109221
R06,qin-wrapping,1.279593695
R06,qin-wrapping,1.761604929
R06,qin-wrapping,1.955216317
R06,qin-wrapping,1.494952242
R06,qin-wrapping,1.212514567
R06,qin-wrapping,1.810462384
R06,qin-wrapping,0
R06,qin-wrapping,1.74149916
R06,qin-wrapping,1.461529606
R06,qin-wrapping,1.804924523
R06,qin-wrapping,1.492383994
R06,qin-wrapping,1.310487924
R06,qin-wrapping,1.97706646
R06,qin-wrapping,1.67219071
R06,qin-wrapping,1.775448714
R06,qin-wrapping,1.436957875
R06,qin-reflection,0
R06,qin-reflection,1.000759584
R06,qin-reflection,1.005388741
R06,qin-reflection,1.007310825
R06,qin-reflection,1.002140288
R06,qin-reflection,1.001503968
R06,qin-reflection,1.003809368
R06,qin-reflection,0
R06,qin-reflection,1.011104796
R06,qin-reflection,1.00089623
R06,qin-reflection,1.003002112
R06,qin-reflection,1.034297845
R06,qin-reflection,1.008038184
R06,qin-reflection,1.000099697
R06,qin-reflection,1.000796961
R06,qin-reflection,1.00128717
R06,qin-reflection,1.001045206
R06,qin-reflection,1.004792108
